"","사용일자","노선명","total"
"437",18,"경부선",807239
"438",18,"경원선",368570
"439",18,"경의선",204382
"440",18,"경인선",530065
"441",18,"경춘선",68529
"442",18,"공항철도 1호선",162288
"443",18,"과천선",185018
"444",18,"분당선",679834
"445",18,"수인선",78013
"446",18,"안산선",219823
"447",18,"우이신설선",79901
"448",18,"일산선",203317
"449",18,"장항선",20960
"450",18,"중앙선",171509
"451",19,"1호선",453714
"452",19,"2호선",2751778
"453",19,"3호선",1036624
"454",19,"4호선",975459
"455",19,"5호선",1180942
"456",19,"6호선",623474
"457",19,"7호선",1349376
"458",19,"8호선",369632
"459",19,"9호선",540010
"460",19,"9호선2~3단계",174822
"461",19,"경강선",54546
"462",19,"경부선",855959
"463",19,"경원선",382781
"464",19,"경의선",204634
"465",19,"경인선",546130
"466",19,"경춘선",69584
"467",19,"공항철도 1호선",171504
"468",19,"과천선",188508
"469",19,"분당선",729917
"470",19,"수인선",79902
"471",19,"안산선",226147
"472",19,"우이신설선",81201
"473",19,"일산선",209111
"474",19,"장항선",26879
"475",19,"중앙선",172247
"476",20,"1호선",296382
"477",20,"2호선",1740459
"478",20,"3호선",681633
"479",20,"4호선",656207
"480",20,"5호선",706193
"481",20,"6호선",412836
"482",20,"7호선",857052
"483",20,"8호선",231625
"484",20,"9호선",329638
"485",20,"9호선2~3단계",100514
"486",20,"경강선",37939
"487",20,"경부선",614186
"488",20,"경원선",301222
"489",20,"경의선",130609
"490",20,"경인선",396987
"491",20,"경춘선",58449
"492",20,"공항철도 1호선",113556
"493",20,"과천선",118609
"494",20,"분당선",462406
"495",20,"수인선",57533
"496",20,"안산선",168081
"497",20,"우이신설선",59397
"498",20,"일산선",144437
"499",20,"장항선",18367
"500",20,"중앙선",140041
"501",21,"1호선",202447
"502",21,"2호선",1167180
"503",21,"3호선",456721
"504",21,"4호선",448736
"505",21,"5호선",489659
"506",21,"6호선",293895
"507",21,"7호선",590664
"508",21,"8호선",164720
"509",21,"9호선",232748
"510",21,"9호선2~3단계",71277
"511",21,"경강선",29139
"512",21,"경부선",472795
"513",21,"경원선",231241
"514",21,"경의선",97089
"515",21,"경인선",282325
"516",21,"경춘선",46365
"517",21,"공항철도 1호선",89969
"518",21,"과천선",80937
"519",21,"분당선",308966
"520",21,"수인선",42270
"521",21,"안산선",122717
"522",21,"우이신설선",49770
"523",21,"일산선",103408
"524",21,"장항선",16389
"525",21,"중앙선",103196
"526",22,"1호선",422368
"527",22,"2호선",2589251
"528",22,"3호선",958768
"529",22,"4호선",921101
"530",22,"5호선",1134058
"531",22,"6호선",602757
"532",22,"7호선",1306836
"533",22,"8호선",350111
"534",22,"9호선",507678
"535",22,"9호선2~3단계",167533
"536",22,"경강선",51586
"537",22,"경부선",800344
"538",22,"경원선",366944
"539",22,"경의선",200063
"540",22,"경인선",528442
"541",22,"경춘선",68593
"542",22,"공항철도 1호선",160331
"543",22,"과천선",180002
"544",22,"분당선",666100
"545",22,"수인선",78126
"546",22,"안산선",221140
"547",22,"우이신설선",78389
"548",22,"일산선",197874
"549",22,"장항선",22335
"550",22,"중앙선",167314
"551",23,"1호선",436566
"552",23,"2호선",2663829
"553",23,"3호선",982365
"554",23,"4호선",946041
"555",23,"5호선",1159728
"556",23,"6호선",620214
"557",23,"7호선",1331698
"558",23,"8호선",359029
"559",23,"9호선",518155
"560",23,"9호선2~3단계",175235
"561",23,"경강선",51708
"562",23,"경부선",806768
"563",23,"경원선",372140
"564",23,"경의선",207563
"565",23,"경인선",534391
"566",23,"경춘선",69280
"567",23,"공항철도 1호선",163195
"568",23,"과천선",185517
"569",23,"분당선",683785
"570",23,"수인선",79674
"571",23,"안산선",223959
"572",23,"우이신설선",80765
"573",23,"일산선",203147
"574",23,"장항선",21626
"575",23,"중앙선",171257
"576",24,"1호선",410193
"577",24,"2호선",2592033
"578",24,"3호선",950217
"579",24,"4호선",905779
"580",24,"5호선",1124753
"581",24,"6호선",600232
"582",24,"7호선",1285795
"583",24,"8호선",353363
"584",24,"9호선",504059
"585",24,"9호선2~3단계",169887
"586",24,"경강선",49410
"587",24,"경부선",773782
"588",24,"경원선",344853
"589",24,"경의선",184843
"590",24,"경인선",509452
"591",24,"경춘선",60742
"592",24,"공항철도 1호선",153978
"593",24,"과천선",176970
"594",24,"분당선",669162
"595",24,"수인선",73469
"596",24,"안산선",208121
"597",24,"우이신설선",74274
"598",24,"일산선",189289
"599",24,"장항선",22257
"600",24,"중앙선",157957
"601",25,"1호선",438534
"602",25,"2호선",2669150
"603",25,"3호선",978182
"604",25,"4호선",937944
"605",25,"5호선",1150147
"606",25,"6호선",618694
"607",25,"7호선",1316410
"608",25,"8호선",355945
"609",25,"9호선",517657
"610",25,"9호선2~3단계",171498
"611",25,"경강선",50841
"612",25,"경부선",806273
"613",25,"경원선",361422
"614",25,"경의선",198132
"615",25,"경인선",534322
"616",25,"경춘선",64892
"617",25,"공항철도 1호선",161327
"618",25,"과천선",183441
"619",25,"분당선",681357
"620",25,"수인선",77079
"621",25,"안산선",219657
"622",25,"우이신설선",77768
"623",25,"일산선",198313
"624",25,"장항선",21658
"625",25,"중앙선",167978
"626",26,"1호선",467630
"627",26,"2호선",2798987
"628",26,"3호선",1056294
"629",26,"4호선",996468
"630",26,"5호선",1193186
"631",26,"6호선",643315
"632",26,"7호선",1370311
"633",26,"8호선",371850
"634",26,"9호선",546337
"635",26,"9호선2~3단계",175610
"636",26,"경강선",54870
"637",26,"경부선",882800
"638",26,"경원선",392915
"639",26,"경의선",208776
"640",26,"경인선",565624
"641",26,"경춘선",71488
"642",26,"공항철도 1호선",175390
"643",26,"과천선",192451
"644",26,"분당선",729650
"645",26,"수인선",82875
"646",26,"안산선",231309
"647",26,"우이신설선",82795
"648",26,"일산선",210226
"649",26,"장항선",25083
"650",26,"중앙선",178761
"651",27,"1호선",312939
"652",27,"2호선",1808316
"653",27,"3호선",714949
"654",27,"4호선",686278
"655",27,"5호선",728688
"656",27,"6호선",433014
"657",27,"7호선",880236
"658",27,"8호선",240765
"659",27,"9호선",338900
"660",27,"9호선2~3단계",103004
"661",27,"경강선",39019
"662",27,"경부선",640462
"663",27,"경원선",312279
"664",27,"경의선",136070
"665",27,"경인선",419451
"666",27,"경춘선",61673
"667",27,"공항철도 1호선",118798
"668",27,"과천선",121932
"669",27,"분당선",479283
"670",27,"수인선",60092
"671",27,"안산선",172450
"672",27,"우이신설선",62344
"673",27,"일산선",150616
"674",27,"장항선",19538
"675",27,"중앙선",142104
"676",28,"1호선",212954
"677",28,"2호선",1225819
"678",28,"3호선",483950
"679",28,"4호선",469782
"680",28,"5호선",504150
"681",28,"6호선",307875
"682",28,"7호선",611953
"683",28,"8호선",169104
"684",28,"9호선",237841
"685",28,"9호선2~3단계",69745
"686",28,"경강선",30463
"687",28,"경부선",491209
"688",28,"경원선",238661
"689",28,"경의선",103120
"690",28,"경인선",295935
"691",28,"경춘선",49922
"692",28,"공항철도 1호선",95734
"693",28,"과천선",85683
"694",28,"분당선",324608
"695",28,"수인선",42937
"696",28,"안산선",126225
"697",28,"우이신설선",48500
"698",28,"일산선",107223
"699",28,"장항선",16332
"700",28,"중앙선",112427
"701",29,"1호선",435613
"702",29,"2호선",2631968
"703",29,"3호선",977489
"704",29,"4호선",938071
"705",29,"5호선",1152621
"706",29,"6호선",609361
"707",29,"7호선",1327048
"708",29,"8호선",361315
"709",29,"9호선",513339
"710",29,"9호선2~3단계",169903
"711",29,"경강선",52203
"712",29,"경부선",804976
"713",29,"경원선",369860
"714",29,"경의선",201682
"715",29,"경인선",538019
"716",29,"경춘선",69562
"717",29,"공항철도 1호선",162551
"718",29,"과천선",181289
"719",29,"분당선",694458
"720",29,"수인선",77596
"721",29,"안산선",219466
"722",29,"우이신설선",80038
"723",29,"일산선",200250
"724",29,"장항선",22728
"725",29,"중앙선",171109
"726",30,"1호선",423875
"727",30,"2호선",2633357
"728",30,"3호선",964595
"729",30,"4호선",931144
"730",30,"5호선",1146257
"731",30,"6호선",606574
"732",30,"7호선",1310256
"733",30,"8호선",354614
"734",30,"9호선",510535
"735",30,"9호선2~3단계",171242
"736",30,"경강선",49903
"737",30,"경부선",782349
"738",30,"경원선",353461
"739",30,"경의선",194282
"740",30,"경인선",523781
"741",30,"경춘선",64038
"742",30,"공항철도 1호선",159454
"743",30,"과천선",179070
"744",30,"분당선",675973
"745",30,"수인선",74870
"746",30,"안산선",211486
"747",30,"우이신설선",77644
"748",30,"일산선",193898
"749",30,"장항선",19257
"750",30,"중앙선",164983
